category,Low,Medium,High
Academic / Study,10.44776119402985,22.388059701492537,67.16417910447761
Python / Programming,22.666666666666664,14.666666666666666,62.66666666666667
SQL / BI,13.839285714285715,25.44642857142857,60.71428571428571
AWS / Cloud,19.148936170212767,21.27659574468085,59.57446808510638
Data Engineering,18.487394957983195,36.97478991596639,44.537815126050425
Translation / Writing,25.352112676056336,35.2112676056338,39.436619718309856
Machine Learning / AI,25.0,38.88888888888889,36.11111111111111
Personal / Advice,27.027027027027028,40.54054054054054,32.432432432432435
General / Other,59.241706161137444,34.12322274881517,6.6350710900473935
